                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.52003,                 0.2673,                 0.8473,                0.99594,                0.97942,                0.99181,                0.87395,                0.60268,                0.31488,                 0.8861,               0.001307,               0.001307,               0.001307
                     38,                0.51886,                0.26702,                0.84264,                0.99289,                0.97686,                 0.9934,                0.87017,                0.59691,                0.31233,                0.88075,              0.0012872,              0.0012872,              0.0012872
                     39,                0.51536,                0.26432,                0.84387,                0.99186,                0.98402,                0.99333,                 0.8683,                0.60072,                0.30198,                0.88098,              0.0012674,              0.0012674,              0.0012674
                     40,                0.51212,                0.26423,                0.84277,                0.99196,                0.98591,                0.99372,                0.87212,                0.60006,                 0.2858,                0.87856,              0.0012476,              0.0012476,              0.0012476
                     41,                0.51061,                0.25992,                0.84556,                0.99295,                0.98538,                0.99388,                0.86597,                0.63688,                0.29726,                0.88926,              0.0012278,              0.0012278,              0.0012278
                     42,                 0.5089,                0.26042,                0.84104,                0.99598,                0.98942,                0.99397,                0.86968,                0.61479,                0.29208,                0.88273,               0.001208,               0.001208,               0.001208
                     43,                0.51575,                0.26302,                0.84244,                0.99276,                0.98801,                0.99382,                0.87807,                0.58321,                0.28433,                0.87371,              0.0011882,              0.0011882,              0.0011882
                     44,                0.50997,                 0.2603,                0.84195,                0.99455,                0.98701,                0.99383,                0.87019,                0.60961,                0.29133,                0.87989,              0.0011684,              0.0011684,              0.0011684
                     45,                0.50547,                0.25349,                0.84286,                0.99507,                0.98801,                0.99406,                0.86985,                0.61908,                0.29118,                0.88007,              0.0011486,              0.0011486,              0.0011486
                     46,                0.50797,                0.25386,                0.84215,                0.99498,                0.98959,                0.99397,                0.87972,                0.58217,                0.27586,                0.87238,              0.0011288,              0.0011288,              0.0011288
                     47,                0.50609,                0.25833,                0.84221,                0.99497,                0.98786,                0.99398,                0.88504,                0.58103,                 0.2801,                0.87372,               0.001109,               0.001109,               0.001109
                     48,                0.50701,                0.25186,                0.84366,                0.99494,                 0.9827,                0.99392,                0.87867,                0.57673,                0.27904,                0.87129,              0.0010892,              0.0010892,              0.0010892
                     49,                0.50557,                0.25116,                0.84206,                0.99171,                0.97502,                0.99354,                0.87914,                0.58064,                0.28585,                0.86933,              0.0010694,              0.0010694,              0.0010694
                     50,                0.50666,                0.25143,                0.84325,                0.99281,                0.98002,                 0.9938,                0.86914,                0.62756,                0.28592,                0.88483,              0.0010496,              0.0010496,              0.0010496
                     51,                0.50608,                0.25189,                0.84233,                0.98966,                0.98801,                0.99389,                0.87848,                0.58976,                0.27321,                0.87153,              0.0010298,              0.0010298,              0.0010298
                     52,                0.50273,                0.24894,                0.84158,                0.99192,                0.98302,                0.99391,                0.88246,                 0.5779,                0.29743,                0.87013,                0.00101,                0.00101,                0.00101
                     53,                0.50213,                0.25041,                0.84131,                0.99696,                0.98337,                0.99388,                0.87765,                 0.5886,                0.29213,                0.87243,              0.0009902,              0.0009902,              0.0009902
                     54,                0.49713,                0.24485,                0.84037,                0.99589,                0.98601,                0.99383,                0.87825,                0.58136,                0.27457,                0.87045,              0.0009704,              0.0009704,              0.0009704
                     55,                0.49741,                 0.2467,                0.84223,                0.99697,                0.98572,                0.99399,                 0.8751,                0.60913,                0.29268,                   0.88,              0.0009506,              0.0009506,              0.0009506
                     56,                0.50444,                0.24547,                0.84432,                0.99508,                0.98202,                0.99395,                0.87335,                 0.6255,                0.29937,                0.88615,              0.0009308,              0.0009308,              0.0009308
                     57,                 0.5022,                0.24747,                0.84398,                0.99595,                0.98197,                0.99277,                0.87573,                0.59254,                0.29345,                0.87488,               0.000911,               0.000911,               0.000911
                     58,                0.49785,                0.24491,                0.83998,                0.99589,                0.98601,                0.99387,                0.87628,                  0.596,                0.26937,                0.87456,              0.0008912,              0.0008912,              0.0008912
                     59,                0.49744,                0.24387,                0.84029,                0.99497,                0.98813,                0.99391,                0.87997,                0.57607,                0.27521,                0.86985,              0.0008714,              0.0008714,              0.0008714
                     60,                0.49454,                0.24105,                0.84249,                 0.9946,                0.98302,                0.99388,                0.87878,                0.58132,                0.28546,                0.87149,              0.0008516,              0.0008516,              0.0008516
                     61,                0.49058,                0.23937,                0.83832,                0.99491,                0.97729,                 0.9934,                0.87832,                0.57788,                0.28602,                0.86808,              0.0008318,              0.0008318,              0.0008318
                     62,                0.49446,                0.23927,                0.84095,                0.99311,                0.98501,                0.99388,                0.88668,                0.56158,                 0.2668,                0.86513,               0.000812,               0.000812,               0.000812
                     63,                 0.4912,                0.23899,                0.84022,                0.99496,                0.98574,                0.99389,                0.88258,                 0.5748,                0.27518,                0.86861,              0.0007922,              0.0007922,              0.0007922
                     64,                0.49042,                0.23877,                0.84128,                0.98997,                0.98581,                0.99383,                0.87787,                0.59377,                0.28064,                0.87321,              0.0007724,              0.0007724,              0.0007724
                     65,                 0.4869,                0.23512,                0.83636,                0.99391,                0.97821,                0.99382,                 0.8813,                0.57207,                 0.2787,                0.86956,              0.0007526,              0.0007526,              0.0007526
